,TS,9999,1111,5555
2012-11-19,11/19/2012,798.2619718341142,4.63631736238703,5.330017079043944
2012-11-20,11/20/2012,14791.955353406152,18.76805193365023,43.64943994769903
2012-11-21,11/21/2012,17619.06411203821,12.628132153311503,35.5836832593805
2012-11-22,11/22/2012,2307.953258497835,4.0268682843266195,5.87043894716162
2012-11-23,11/23/2012,1762.4414572002825,3.550096749354265,5.0677619361314825
2012-11-24,11/24/2012,1460.5457394922782,3.159232615080741,4.401607815282596
2012-11-25,11/25/2012,1208.0979827377569,2.8110816440208266,3.8417629266780358
2012-11-26,11/26/2012,1007.5578492179166,2.5339717415246406,3.3844967890340616
2012-11-27,11/27/2012,824.7468741338774,2.293140226734791,2.9999773042717877
2012-11-28,11/28/2012,11193.833994714398,10.01451055846549,16.400257313347666
2012-11-29,11/29/2012,27263.605710731867,157.0980967000007,100.54832619003867
2012-11-30,11/30/2012,38498.95112018675,71.76742988308214,63.03509301269377
2012-12-01,12/01/2012,17881.24289412921,115.66427427601265,71.03672582314309
2012-12-02,12/02/2012,100196.66100639246,377.6394445227567,300.6099433456924
2012-12-03,12/03/2012,18721.190228047937,62.928561689807495,59.4972215176584
2012-12-04,12/04/2012,40046.15667777562,163.86305411040067,153.19399315338353
2012-12-05,12/05/2012,38986.36788017415,92.71587489344549,89.27090469390474
2012-12-06,12/06/2012,20284.753361781688,67.37489070266257,64.39901397229694
2012-12-07,12/07/2012,17077.47618191629,56.34703285502698,55.12720868490861
2012-12-08,12/08/2012,14356.448953114617,47.28310452374879,47.50075580156244
2012-12-09,12/09/2012,12057.063721082552,39.89508916133911,41.252335521335205
2012-12-10,12/10/2012,10099.52735939739,33.88732189938078,36.14476481181186
2012-12-11,12/11/2012,8498.133197703355,29.34597453102182,32.66683558736502
2012-12-12,12/12/2012,7375.774019736823,25.83011732935655,29.72090900659296
2012-12-13,12/13/2012,6221.703908078493,22.401570599406483,26.561946727248433
2012-12-14,12/14/2012,5289.209968559678,19.67523500593428,24.152901823357755
2012-12-15,12/15/2012,4595.199885342685,17.709631185910943,22.75844822763577
2012-12-16,12/16/2012,6274.395290674143,25.63190577897873,32.42480547292515
2012-12-17,12/17/2012,26083.8386403338,36.63316927358886,35.090662060572896
2012-12-18,12/18/2012,7520.106495479851,22.264337250259587,24.90228749342559
2012-12-19,12/19/2012,6506.37868874369,19.860554649972023,23.02886835510173
2012-12-20,12/20/2012,17086.355370157475,120.75254693965904,110.1291483062408
2012-12-21,12/21/2012,30410.247512098947,108.74402740301184,110.47440044673928
2012-12-22,12/22/2012,38423.603746215966,112.47259459310486,117.89424515574929
2012-12-23,12/23/2012,52884.60724869958,182.36154450361795,160.24074673360383
2012-12-24,12/24/2012,20089.481974189363,70.2129221409354,77.08463664618536
2012-12-25,12/25/2012,26354.250167618593,101.94977817361357,107.35388201499991
2012-12-26,12/26/2012,29083.010139239323,75.35564163300957,84.47448971811862
