,TS,9999,1111,5555
2014-04-05,04/05/2014,5340.526946291746,24.55195,18.712139999999998
2014-04-06,04/06/2014,4591.061165089543,21.87092,17.48007
2014-04-07,04/07/2014,3963.505471565026,19.64377,16.42664
2014-04-08,04/08/2014,3433.4037872627173,17.785829999999997,15.52162
2014-04-09,04/09/2014,2980.1237513191795,16.23401,14.73378
2014-04-10,04/10/2014,2609.2955592402736,14.92133,14.03686
2014-04-11,04/11/2014,2280.354823340263,13.81889,13.419
2014-04-12,04/12/2014,2014.8389311062829,12.87303,12.86554
2014-04-13,04/13/2014,1776.6681718707214,12.05685,12.36117
2014-04-14,04/14/2014,1581.2191325087801,11.37256,11.92302
2014-04-15,04/15/2014,1414.92864636416,10.736410000000001,11.491610000000001
2014-04-16,04/16/2014,1263.1763941388185,10.21374,11.108260000000001
2014-04-17,04/17/2014,1146.4542316172451,9.766432,10.76883
2014-04-18,04/18/2014,1042.4030544129416,9.351233,10.43277
2014-04-19,04/19/2014,957.3694098295399,8.987413,10.12798
2014-04-20,04/20/2014,871.9475219996449,8.625832,9.813195
2014-04-21,04/21/2014,814.2232328044304,8.393267,9.663545
2014-04-22,04/22/2014,780.4739131391957,8.148314,9.618333999999999
2014-04-23,04/23/2014,733.7391277537688,7.9258,9.381696
2014-04-24,04/24/2014,757.1419831717913,8.298235,9.30821
2014-04-25,04/25/2014,970.5791649506018,8.468219,9.122726
2014-04-26,04/26/2014,1043.6223564678642,8.27287,8.867275
2014-04-27,04/27/2014,1028.5009197521263,8.046794,8.648446
2014-04-28,04/28/2014,981.6885054414707,7.745906,8.393145
2014-04-29,04/29/2014,895.9082041357701,7.485345,8.154286
2014-04-30,04/30/2014,834.7068104447967,7.261642,7.936096000000001
2014-05-01,05/01/2014,772.3611271948333,7.035698,7.737432000000001
2014-05-02,05/02/2014,735.8300198095087,6.823971,7.5423089999999995
2014-05-03,05/03/2014,695.669229811411,6.623303999999999,7.350861
2014-05-04,05/04/2014,675.8484992614705,6.610358,7.2431589999999995
2014-05-05,05/05/2014,658.1221045894823,6.417065,7.0153490000000005
2014-05-06,05/06/2014,609.2387968439969,6.195397,6.817784
2014-05-07,05/07/2014,575.8481630896566,6.020187,6.645356
2014-05-08,05/08/2014,560.8319939667605,5.968071,6.533373
2014-05-09,05/09/2014,576.0657842898629,5.833722,6.407946
2014-05-10,05/10/2014,543.7411321639746,5.635991000000001,6.2267980000000005
