DTTM,TS,9999,1111,5555
2009-04-22,04/22/2009,551.1585818665231,5.6050911,9.16308
2009-04-23,04/23/2009,513.5191274277944,5.4299799,8.9327313
2009-04-24,04/24/2009,479.3049990528278,5.2652619000000005,8.686434600000002
2009-04-25,04/25/2009,450.2758294688639,5.1354603,8.4654621
2009-04-26,04/26/2009,415.7839915095669,4.985541,8.237830500000001
2009-04-27,04/27/2009,386.2970031614465,4.8685689,8.0324001
2009-04-28,04/28/2009,368.3875280180379,4.7602367999999995,7.830613800000001
2009-04-29,04/29/2009,348.36389259099184,4.6436616,7.624877400000001
2009-04-30,04/30/2009,331.81911662580166,4.5498348,7.465564799999999
2009-05-01,05/01/2009,742.9761572936201,5.6100168,11.021571
2009-05-02,05/02/2009,4762.001724095354,8.8386066,16.831782
2009-05-03,05/03/2009,4105.330257260782,8.005946400000001,14.262489
2009-05-04,05/04/2009,21007.894084026364,61.53867,68.426307
2009-05-05,05/05/2009,8949.502178624298,16.029315,17.978562
2009-05-06,05/06/2009,5168.512524549706,15.067169999999999,17.25336
2009-05-07,05/07/2009,4331.830605657395,13.489182,15.722037
2009-05-08,05/08/2009,3649.9034497919642,12.223016999999999,14.616243000000003
2009-05-09,05/09/2009,3145.7027475659365,11.132757000000002,13.663827
2009-05-10,05/10/2009,2704.525258149895,10.191006,12.842055
2009-05-11,05/11/2009,2328.1996552990036,9.393084000000002,12.13641
2009-05-12,05/12/2009,2004.4394277548665,8.672226300000002,11.502198
2009-05-13,05/13/2009,1729.8400911120948,8.1165438,10.977291
2009-05-14,05/14/2009,1502.2101454675808,7.6279779,10.495170000000002
2009-05-15,05/15/2009,1292.969874488058,7.1749908,10.035872999999999
2009-05-16,05/16/2009,1129.2038792113638,6.7809249,9.632691
2009-05-17,05/17/2009,995.478696172833,6.4558233,9.280701
2009-05-18,05/18/2009,883.5201310344981,6.1667055,8.9629452
2009-05-19,05/19/2009,793.3961842879189,5.8964148000000005,8.670696300000001
2009-05-20,05/20/2009,710.9259639201814,5.6326743,8.377990200000001
2009-05-21,05/21/2009,639.3079219036183,5.4361143,8.1209475
